iter	Passed	Remaining
0	139	139571
1	140	69995
2	140	46767
3	141	35146
4	141	28177
5	142	23529
6	142	20211
7	142	17720
8	143	15782
9	143	14232
10	144	12963
11	144	11907
12	145	11014
13	145	10247
14	145	9583
15	146	9002
16	146	8489
17	147	8033
18	147	7624
19	148	7257
20	148	6924
21	148	6622
22	149	6346
23	149	6093
24	150	5860
25	150	5645
26	151	5446
27	151	5260
28	151	5088
29	152	4927
30	152	4778
31	153	4637
32	153	4505
33	154	4380
34	154	4263
35	155	4152
36	155	4047
37	155	3947
38	156	3852
39	156	3762
40	157	3677
41	157	3596
42	158	3518
43	158	3444
44	158	3373
45	159	3305
46	159	3240
47	160	3178
48	160	3118
49	161	3061
50	161	3006
51	162	2953
52	162	2902
53	162	2853
54	163	2806
55	163	2760
56	164	2716
57	164	2673
58	165	2632
59	165	2592
60	165	2553
61	166	2516
62	166	2480
63	167	2446
64	167	2412
65	168	2379
66	168	2347
67	168	2313
68	169	2283
69	169	2254
70	170	2225
71	170	2198
72	170	2171
73	171	2144
74	171	2119
75	172	2094
76	172	2070
77	173	2046
78	173	2023
79	174	2001
80	174	1978
81	174	1957
82	175	1936
83	175	1916
84	176	1894
85	176	1875
86	176	1854
87	177	1836
88	177	1818
89	178	1800
90	178	1782
91	178	1765
92	179	1749
93	179	1732
94	180	1716
95	180	1700
96	181	1686
97	181	1671
98	182	1656
99	182	1642
100	182	1627
101	183	1612
102	183	1598
103	183	1585
104	184	1572
105	184	1559
106	185	1546
107	185	1534
108	186	1522
109	186	1510
110	187	1498
111	187	1486
112	187	1474
113	188	1463
114	188	1452
115	189	1441
116	189	1430
117	190	1420
118	190	1409
119	190	1399
120	191	1389
121	191	1379
122	191	1368
123	192	1359
124	192	1350
125	193	1340
126	193	1332
127	194	1322
128	194	1313
129	195	1305
130	195	1297
131	196	1289
132	196	1281
133	197	1273
134	197	1265
135	197	1257
136	198	1249
137	198	1241
138	199	1234
139	199	1226
140	200	1219
141	200	1212
142	201	1205
143	201	1198
144	202	1191
145	202	1184
146	203	1178
147	203	1171
148	203	1164
149	204	1158
150	204	1152
151	205	1146
152	205	1140
153	206	1134
154	206	1128
155	207	1122
156	207	1116
157	208	1110
158	208	1105
159	209	1099
160	210	1094
161	210	1089
162	211	1084
163	211	1079
164	212	1073
165	212	1068
166	213	1063
167	213	1058
168	214	1053
169	214	1048
170	215	1043
171	215	1038
172	216	1033
173	216	1028
174	217	1023
175	217	1018
176	218	1014
177	218	1009
178	219	1004
179	219	1000
180	219	994
181	220	989
182	220	985
183	221	981
184	221	976
185	222	972
186	222	967
187	223	963
188	223	960
189	224	955
190	224	951
191	225	947
192	225	943
193	226	939
194	226	935
195	227	931
196	227	928
197	228	924
198	228	920
199	229	916
200	229	912
201	230	909
202	230	905
203	231	901
204	231	898
205	232	894
206	232	890
207	233	887
208	233	884
209	234	880
210	234	877
211	235	873
212	235	870
213	236	867
214	236	864
215	237	860
216	237	857
217	238	854
218	238	851
219	239	847
220	239	844
221	240	841
222	240	838
223	241	835
224	241	832
225	242	829
226	242	826
227	243	823
228	243	820
229	244	817
230	244	814
231	245	811
232	245	808
233	246	805
234	246	803
235	247	800
236	247	797
237	248	794
238	248	791
239	249	789
240	249	786
241	250	783
242	250	781
243	251	778
244	251	775
245	252	773
246	252	770
247	253	767
248	253	765
249	254	762
250	254	759
251	255	757
252	255	754
253	256	752
254	256	749
255	257	747
256	257	744
257	258	742
258	258	739
259	259	737
260	259	734
261	259	732
262	260	730
263	261	727
264	261	725
265	262	722
266	262	720
267	262	718
268	263	715
269	263	713
270	265	713
271	265	711
272	266	708
273	266	706
274	267	704
275	267	702
276	268	700
277	268	697
278	269	695
279	269	693
280	270	691
281	270	689
282	271	687
283	271	685
284	272	683
285	272	681
286	273	679
287	273	677
288	274	675
289	274	673
290	275	671
291	276	669
292	276	667
293	277	665
294	277	663
295	278	661
296	278	660
297	279	658
298	279	656
299	280	654
300	280	652
301	281	650
302	282	648
303	282	646
304	283	645
305	283	643
306	284	641
307	284	639
308	285	637
309	285	635
310	286	634
311	286	632
312	287	630
313	287	628
314	288	627
315	288	625
316	289	623
317	290	621
318	290	620
319	291	618
320	291	617
321	292	615
322	292	613
323	293	612
324	293	610
325	294	608
326	294	607
327	295	605
328	296	603
329	296	602
330	297	600
331	297	598
332	298	597
333	298	595
334	299	593
335	299	592
336	300	590
337	300	589
338	301	587
339	301	585
340	302	584
341	302	582
342	303	581
343	303	579
344	304	577
345	304	576
346	305	574
347	305	573
348	306	571
349	306	570
350	307	568
351	308	567
352	308	565
353	308	563
354	309	562
355	309	560
356	310	559
357	310	557
358	311	556
359	311	554
360	312	553
361	312	551
362	313	550
363	313	548
364	314	546
365	314	545
366	315	544
367	315	542
368	316	541
369	316	539
370	317	538
371	317	536
372	318	535
373	318	533
374	319	532
375	319	531
376	320	529
377	321	528
378	321	526
379	322	525
380	322	524
381	323	522
382	323	521
383	324	520
384	324	518
385	325	517
386	325	516
387	326	515
388	327	514
389	327	512
390	328	511
391	328	510
392	329	508
393	330	507
394	330	506
395	331	505
396	331	503
397	332	502
398	332	501
399	333	499
400	333	498
401	334	497
402	334	496
403	335	494
404	335	493
405	336	492
406	337	491
407	337	489
408	338	488
409	338	487
410	339	486
411	339	484
412	340	483
413	340	482
414	341	481
415	341	480
416	342	478
417	343	477
418	343	476
419	344	475
420	344	473
421	345	472
422	345	471
423	346	470
424	346	469
425	347	467
426	347	466
427	348	465
428	348	464
429	349	463
430	349	462
431	350	460
432	351	459
433	351	458
434	352	457
435	352	456
436	353	455
437	353	453
438	354	452
439	354	451
440	355	450
441	355	449
442	356	448
443	356	446
444	357	445
445	357	444
446	358	443
447	358	442
448	359	441
449	359	439
450	360	438
451	360	437
452	361	436
453	362	435
454	362	434
455	363	433
456	363	432
457	364	430
458	364	429
459	365	428
460	365	427
461	366	426
462	366	425
463	367	424
464	367	423
465	368	422
466	369	421
467	369	420
468	370	419
469	370	418
470	371	416
471	371	415
472	372	414
473	372	413
474	373	412
475	373	411
476	374	410
477	375	409
478	375	408
479	376	407
480	376	406
481	377	405
482	377	404
483	378	403
484	379	402
485	380	402
486	381	401
487	381	400
488	382	399
489	382	398
490	383	397
491	383	396
492	384	395
493	385	394
494	385	393
495	386	392
496	386	391
497	387	390
498	387	389
499	388	388
500	388	387
501	389	386
502	389	385
503	390	384
504	390	383
505	391	382
506	392	381
507	392	380
508	393	379
509	393	378
510	394	377
511	394	376
512	395	375
513	395	374
514	396	373
515	397	372
516	397	371
517	398	370
518	398	369
519	399	368
520	399	367
521	400	366
522	400	365
523	401	364
524	401	363
525	402	362
526	402	361
527	403	360
528	403	359
529	404	358
530	404	357
531	405	356
532	406	355
533	406	354
534	407	353
535	407	353
536	408	352
537	408	351
538	409	350
539	409	349
540	410	348
541	411	347
542	411	346
543	412	345
544	412	344
545	413	343
546	413	342
547	414	341
548	414	340
549	415	339
550	415	338
551	416	338
552	417	337
553	417	336
554	418	335
555	418	334
556	419	333
557	419	332
558	420	331
559	421	330
560	421	330
561	422	329
562	422	328
563	423	327
564	424	326
565	424	325
566	425	324
567	425	323
568	426	322
569	426	322
570	427	321
571	428	320
572	428	319
573	429	318
574	429	317
575	430	316
576	430	315
577	431	315
578	432	314
579	432	313
580	433	312
581	433	311
582	434	310
583	435	309
584	435	309
585	436	308
586	436	307
587	437	306
588	437	305
589	438	304
590	438	303
591	439	302
592	440	302
593	440	301
594	441	300
595	441	299
596	442	298
597	442	297
598	443	296
599	444	296
600	444	295
601	445	294
602	445	293
603	446	292
604	446	291
605	447	290
606	447	290
607	448	289
608	449	288
609	449	287
610	450	286
611	450	285
612	451	284
613	451	284
614	452	283
615	452	282
616	453	281
617	454	280
618	454	279
619	455	278
620	455	278
621	456	277
622	456	276
623	457	275
624	457	274
625	458	273
626	458	272
627	459	272
628	459	271
629	460	270
630	461	269
631	461	268
632	462	267
633	462	267
634	463	266
635	463	265
636	464	264
637	465	263
638	465	263
639	466	262
640	466	261
641	467	260
642	467	259
643	468	258
644	468	258
645	469	257
646	469	256
647	470	255
648	471	254
649	471	253
650	472	253
651	472	252
652	473	251
653	473	250
654	474	249
655	474	249
656	475	248
657	475	247
658	476	246
659	477	245
660	477	244
661	478	244
662	478	243
663	479	242
664	479	241
665	480	240
666	480	240
667	481	239
668	482	238
669	482	237
670	483	236
671	483	236
672	484	235
673	484	234
674	485	233
675	486	232
676	486	232
677	487	231
678	487	230
679	488	229
680	488	228
681	489	228
682	489	227
683	490	226
684	491	225
685	491	225
686	492	224
687	492	223
688	493	222
689	493	221
690	494	221
691	494	220
692	495	219
693	496	218
694	496	217
695	497	217
696	497	216
697	498	215
698	498	214
699	499	213
700	499	213
701	500	212
702	500	211
703	501	210
704	501	210
705	502	209
706	502	208
707	503	207
708	503	206
709	504	206
710	504	205
711	505	204
712	506	203
713	507	203
714	507	202
715	508	201
716	508	200
717	509	200
718	509	199
719	510	198
720	510	197
721	511	196
722	512	196
723	512	195
724	513	194
725	513	193
726	514	193
727	514	192
728	515	191
729	516	190
730	516	190
731	517	189
732	517	188
733	518	187
734	519	187
735	519	186
736	520	185
737	520	184
738	521	184
739	521	183
740	522	182
741	523	181
742	523	181
743	524	180
744	524	179
745	525	178
746	525	178
747	526	177
748	526	176
749	527	175
750	527	175
751	528	174
752	529	173
753	529	172
754	530	172
755	530	171
756	531	170
757	531	169
758	532	169
759	532	168
760	533	167
761	534	166
762	534	166
763	535	165
764	535	164
765	536	163
766	536	163
767	537	162
768	537	161
769	538	160
770	539	160
771	539	159
772	540	158
773	540	157
774	541	157
775	541	156
776	542	155
777	542	154
778	543	154
779	544	153
780	544	152
781	545	151
782	545	151
783	546	150
784	546	149
785	547	149
786	548	148
787	548	147
788	549	146
789	549	146
790	550	145
791	551	144
792	551	144
793	552	143
794	552	142
795	553	141
796	554	141
797	554	140
798	555	139
799	556	139
800	556	138
801	557	137
802	557	136
803	558	136
804	558	135
805	559	134
806	559	133
807	560	133
808	561	132
809	561	131
810	562	131
811	562	130
812	563	129
813	563	128
814	564	128
815	565	127
816	565	126
817	566	125
818	566	125
819	567	124
820	567	123
821	568	123
822	568	122
823	569	121
824	569	120
825	570	120
826	570	119
827	571	118
828	571	117
829	572	117
830	573	116
831	573	115
832	574	115
833	574	114
834	575	113
835	575	112
836	576	112
837	576	111
838	577	110
839	578	110
840	578	109
841	579	108
842	579	107
843	580	107
844	580	106
845	581	105
846	581	105
847	582	104
848	582	103
849	583	102
850	584	102
851	584	101
852	585	100
853	585	100
854	586	99
855	586	98
856	587	98
857	587	97
858	588	96
859	588	95
860	589	95
861	590	94
